GeneID	SRR6451292	SRR6451294	SRR6451295	SRR6451288	SRR6451289	SRR6451296	SRR10063894	SRR10063893	SRR10063892	SRR6451293	SRR6451290	SRR6451291	SRR10063891	SRR10063890	SRR10063888	SRR10063887	SRR10063886	SRR10063885	SRR10063884	SRR10063883	SRR10063882	SRR10063881	SRR10063880	SRR10063879	SRR6451300	SRR6451301	SRR6451298	SRR6451297	SRR6451302	SRR6451303	SRR1019853	SRR1019854	SRR1019855	SRR1585195	SRR1687186	SRR1687187	SRR1747132	SRR1747133	SRR1747134	SRR1747135	SRR1747136	SRR1996221	SRR5192077	SRR5498790	SRR5498791	SRR7814089	SRR7814090	SRR7814091	SRR7814092	SRR7814093	SRR7814094	SRR8351347	SRR8351348	SRR8351349	SRR8351350	SRR8351351	SRR8351352	SRR8351353	SRR8351354	SRR8351355	SRR8351356	SRR8351357	SRR8351358	SRR8351359	SRR8351360	SRR8351361	SRR8361922	SRR8361923	SRR8361924	SRR8948279	SRR8948280	SRR8948281	SRR8948282	SRR8948283	SRR8948284	SRR9903553	SRR9903554	SRR9903555	SRR9903556	SRR9903557	SRR9903558
miR166l-Known-3p-mature	13089.6984	66455.86065	81551.09043	35582.7524	38452.93967	28724.47165	57688.27238	47650.16992	37294.05909	67324.32133	49320.33105	75557.38214	36181.72372	45754.31928	34847.50764	21258.7356	60251.29782	29274.90656	47573.66658	36243.97188	6797.466834	56290.34735	71974.89521	44758.77101	74258.56739	52975.4403	50631.15323	6287.358752	48121.45784	38420.50364	16078.68137	11637.74267	11966.69509	65217.00739	11966.69509	16078.68137	3553.990279	5062.173896	3483.226202	3074.265186	3626.394415	18415.2312	12702.89602	18975.58201	28241.75846	92264.30889	126391.1292	173391.6384	92955.01268	111069.472	124263.3728	4369.937215	5573.719631	7944.77683	6904.009504	7081.752797	29520.24117	4736.184867	13467.09521	11392.05016	15649.50586	11620.71928	8794.702807	6131.540835	5006.419498	17610.87209	4561.086346	4231.759096	4476.655675	42647.46466	39620.74801	48856.27014	42258.27142	25593.63956	39562.47852	16629.29487	25947.50635	42258.27142	22447.04892	39620.74801	42647.46466
miR166l-Known-5p-star	10.69026393	18.92967814	11.33743144	42.15241707	30.27190223	65.47338155	5.58795743	11.17602866	10.50527391	15.43310772	13.74050574	25.58420829	12.84009561	11.88487759	6.746987301	8.187344788	10.55193239	16.12733173	18.65828288	21.40937487	23.70348865	16.27162771	45.4027533	79.39872548	14.10958634	65.48698066	20.58455093	22.1529253	41.23875566	21.88974365	44.91486256	111.7460266	45.75451933	13.87723642	45.75451933	44.91486256	15.55122886	11.10669312	10.62322194	9.578589936	6.76203236	87.17702655	11.94251542	90.54985494	67.8517541	16.06859648	17.79989878	21.68452942	21.08894897	41.33679521	28.69685138	6.428896088	7.541110363	8.06176386	48.24413074	13.15493142	4.777538689	0	8.869720831	8.897946603	19.21246197	9.207763987	4.719406135	1.94992134	2.21760566	8.03891047	3.254494718	4.341299666	9.006907397	47.98389076	45.4930432	72.42258995	79.52073531	69.36225071	125.714808	382.9133778	762.8170173	79.52073531	763.6264022	45.4930432	47.98389076
miRN496-Novel-3p-mature	5.131326685	0	0	0.337219337	1.009063408	0.654733816	0	0	0.350175797	0.561203917	0	0	0.684805099	0	0.337349365	0.982481375	0	0	0.414628508	0	7.846672104	1.536764839	0.726444053	5.293248365	0	0.707967358	0.91486893	2.889511996	0.471300065	0	0.352273432	0.876439424	0.295190447	1.585969876	0.295190447	0.352273432	0	0	0.849857755	0.957858994	0	0	0	0	0	0	0	0	0	0.918595449	0.546606693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.503507344	2.599602469	3.103825284	1.479455541	6.10130909	5.138707479	6.537545474	2.029668339	1.479455541	3.974263803	2.599602469	2.503507344
miRN496-Novel-5p-star	6.414158357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.632220264	4.812043969	0	0	0	0	0	0	3.522734318	1.460732373	2.951904473	0	2.951904473	3.522734318	3.455828635	0	0	0	0	0	3.184670778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.17251224	0	2.58652107	7.397277703	1.926729186	0	4.669675338	6.765561129	7.397277703	2.838759859	0	4.17251224
miRN497-Novel-3p-mature	0.593903552	1.047036291	0.503885842	0.843048341	1.261329259	1.364028782	1.241768318	0.827853975	0.972710547	0.623559908	2.099243932	0.473781635	1.807124568	1.315195631	1.405622354	1.182616469	1.339927923	1.455939671	1.497269614	1.427291658	0.363271857	1.355968975	0.807160059	0.802007328	1.254185452	0.786630398	1.270651292	0.535094814	0.916416793	1.615366769	1.565659697	0.973821582	1.721944276	0.660820782	1.721944276	1.565659697	0.575971439	0.740446208	0.708214796	0.532143885	0	0	0.526122512	0	0	0.991888672	0.728650827	0.160626144	0	0	0.60734077	0.714321788	0.558600768	0.298583847	0.536045897	0.292331809	0.796256448	0.721111033	2.365258888	1.581857174	0.800519249	0.613850932	2.097513838	0.64997378	0.246400629	3.572849098	1.225669356	1.684051917	0.850276137	1.081762433	0.433267078	0.28739123	0.410959872	0	0.203916963	0	0.751729014	0.410959872	0.473126643	0.433267078	1.081762433
miRN497-Novel-5p-star	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miRN498-Novel-3p-mature	0.142536852	0.315494636	0	0.674438673	0.336354469	0.982100723	1.490121981	0.496712385	0.466901063	0.748271889	0.458016858	0.758050616	1.141341832	0.243792361	0.457831281	0.327493792	0.602967565	0.537577724	0.691047514	0.713645829	0.108981557	0.54238759	0.242148018	0	0.752511271	1.179945597	0.762390775	0.385268266	0.471300065	0.416947498	0.478085372	0.779057266	0.885571342	2.643283127	0.885571342	0.478085372	1.355226916	0	0.566571837	0.319286331	0.901604315	0.464944142	2.959870488	0.48293256	0	0.833186484	1.5078611	0	0.728070857	1.224793932	1.639820079	9.000454523	14.37246916	16.43967532	17.36788707	10.13187659	21.93920708	7.109764996	32.57398764	15.86974947	14.40934648	7.611751562	16.96518545	11.1981197	8.87042264	31.04175363	13.18134174	11.74704616	4.289003523	2.956211287	1.128678943	7.704137758	5.773122846	4.119530499	6.283555574	6.812232258	4.059336677	5.773122846	5.488269061	1.128678943	2.956211287
miRN498-Novel-5p-star	1.600919426	3.437861857	2.941511601	1.12199816	1.381897497	1.728121708	7.047643914	2.513997732	2.605576856	2.316570908	2.244338734	2.029829162	1.731594593	2.035337571	0.930880295	1.661042427	1.577617343	1.455280874	1.328572721	1.358937423	1.159855059	2.049462912	2.512348156	1.674862775	1.948367878	1.422875573	3.251824822	0.354106862	1.811655886	0.506877351	1.303302635	2.020924746	2.02143768	1.265993498	2.02143768	1.303302635	2.727691367	5.691062675	3.418671221	1.394921288	2.653773983	0.774906903	1.899539173	0.804887599	1.44129543	0.657272111	1.414133686	1.533034814	2.776108581	1.639812955	1.912453564	0	0	0	0	0	0	0	0	0	0	0.193847663	0	0	0	0	6.934990143	11.04437885	7.377384828	2.70493237	0.382825445	4.421120356	2.889378707	4.320633864	2.602016755	5.122145514	3.404453866	2.889378707	4.088285371	0.382825445	2.70493237
miRN499-Novel-5p-mature	0	6.309892713	2.267486287	1.686096683	3.783987778	2.455251808	0	1.241780962	3.50175797	7.015048964	3.435126435	2.84268981	1.712012748	1.828442706	0.843373413	2.456203437	7.537094565	1.007958233	3.109713813	1.070468743	0.817361677	8.135813853	12.71277092	2.406021984	7.054793168	14.15934717	2.287172325	5.779023992	5.891250809	3.127106236	43.1534954	39.43977408	39.85071038	31.71939752	39.85071038	43.1534954	8.639571588	15.54937036	16.9971551	11.97323742	9.016043147	24.40956743	23.08886314	25.35395938	8.481469262	2.678099414	17.79989878	17.34762353	39.54177932	39.04030659	23.23078445	0	0	0	2.412206537	5.261972566	0	0	1.773944166	5.338767962	2.401557746	9.207763987	4.719406135	0	0	2.679636823	5.207191548	11.57679911	10.29360845	27.12132956	26.64592531	9.699454011	27.12335158	5.780187559	38.54030609	14.00902602	42.28475706	27.12335158	1.41937993	26.64592531	27.12132956
miRN499-Novel-3p-star	17.10442228	6.309892713	9.06994515	0	2.522658519	1.636834539	11.17591486	12.41780962	10.50527391	2.806019585	6.87025287	5.68537962	5.136038245	1.828442706	1.686746825	6.549875831	3.014837826	8.063665867	10.36571271	17.12749989	14.71251019	5.423875902	10.89666079	14.43613191	8.465751801	10.61951038	4.574344651	5.779023992	0	2.084737491	8.806835795	2.921464746	2.951904473	11.89477407	2.951904473	8.806835795	10.36748591	13.32803174	4.249288775	14.3678849	13.52406472	0	9.554012335	0	0	14.28319687	9.368367781	5.782541178	26.36118621	22.96488623	10.93213386	0	0	0	0	0	0	0	3.547888332	0	0	7.366211189	0	7.799685361	0	2.679636823	0	0	3.86010317	5.563349654	10.39840988	2.58652107	7.397277703	5.780187559	1.835252671	18.67870135	20.29668339	7.397277703	2.838759859	10.39840988	5.563349654
